Input File,Month,January,February,March,April,May,June,July,August,September,October,November,December
dublin_airport,January,0.0000,0.0183,0.0447,0.1189,0.1745,0.2191,0.2252,0.2317,0.1726,0.1275,0.0833,0.0220
dublin_airport,February,0.0183,0.0000,0.0340,0.1083,0.1650,0.2085,0.2160,0.2234,0.1620,0.1169,0.0726,0.0093
dublin_airport,March,0.0447,0.0340,0.0000,0.0758,0.1326,0.1762,0.1836,0.1910,0.1287,0.0828,0.0386,0.0268
dublin_airport,April,0.1189,0.1083,0.0758,0.0000,0.0568,0.1004,0.1078,0.1152,0.0537,0.0086,0.0521,0.1008
dublin_airport,May,0.1745,0.1650,0.1326,0.0568,0.0000,0.0446,0.0524,0.0584,0.0078,0.0548,0.1025,0.1560
dublin_airport,June,0.2191,0.2085,0.1762,0.1004,0.0446,0.0000,0.0107,0.0196,0.0480,0.0944,0.1418,0.2006
dublin_airport,July,0.2252,0.2160,0.1836,0.1078,0.0524,0.0107,0.0000,0.0190,0.0549,0.1014,0.1476,0.2070
dublin_airport,August,0.2317,0.2234,0.1910,0.1152,0.0584,0.0196,0.0190,0.0000,0.0630,0.1094,0.1568,0.2144
dublin_airport,September,0.1726,0.1620,0.1287,0.0537,0.0078,0.0480,0.0549,0.0630,0.0000,0.0470,0.0975,0.1541
dublin_airport,October,0.1275,0.1169,0.0828,0.0086,0.0548,0.0944,0.1014,0.1094,0.0470,0.0000,0.0505,0.1090
dublin_airport,November,0.0833,0.0726,0.0386,0.0521,0.1025,0.1418,0.1476,0.1568,0.0975,0.0505,0.0000,0.0648
dublin_airport,December,0.0220,0.0093,0.0268,0.1008,0.1560,0.2006,0.2070,0.2144,0.1541,0.1090,0.0648,0.0000
cork_roches_point,January,0.0000,0.0170,0.0504,0.1242,0.1513,0.1900,0.2039,0.1901,0.1578,0.0862,0.0572,0.0243
cork_roches_point,February,0.0170,0.0000,0.0388,0.1212,0.1472,0.1886,0.2058,0.1904,0.1579,0.0807,0.0594,0.0115
cork_roches_point,March,0.0504,0.0388,0.0000,0.0830,0.1101,0.1503,0.1695,0.1533,0.1197,0.0427,0.0260,0.0480
cork_roches_point,April,0.1242,0.1212,0.0830,0.0000,0.0286,0.0678,0.0880,0.0718,0.0375,0.0409,0.0690,0.1241
cork_roches_point,May,0.1513,0.1472,0.1101,0.0286,0.0000,0.0414,0.0594,0.0432,0.0128,0.0674,0.0958,0.1498
cork_roches_point,June,0.1900,0.1886,0.1503,0.0678,0.0414,0.0000,0.0202,0.0062,0.0336,0.1083,0.1328,0.1904
cork_roches_point,July,0.2039,0.2058,0.1695,0.0880,0.0594,0.0202,0.0000,0.0161,0.0505,0.1267,0.1470,0.2088
cork_roches_point,August,0.1901,0.1904,0.1533,0.0718,0.0432,0.0062,0.0161,0.0000,0.0343,0.1106,0.1330,0.1927
cork_roches_point,September,0.1578,0.1579,0.1197,0.0375,0.0128,0.0336,0.0505,0.0343,0.0000,0.0776,0.1006,0.1597
cork_roches_point,October,0.0862,0.0807,0.0427,0.0409,0.0674,0.1083,0.1267,0.1106,0.0776,0.0000,0.0310,0.0854
cork_roches_point,November,0.0572,0.0594,0.0260,0.0690,0.0958,0.1328,0.1470,0.1330,0.1006,0.0310,0.0000,0.0650
cork_roches_point,December,0.0243,0.0115,0.0480,0.1241,0.1498,0.1904,0.2088,0.1927,0.1597,0.0854,0.0650,0.0000
cork_airport,January,0.0000,0.0155,0.0270,0.0871,0.1190,0.1734,0.2031,0.1895,0.1487,0.0838,0.0608,0.0211
cork_airport,February,0.0155,0.0000,0.0242,0.0925,0.1210,0.1786,0.2104,0.1969,0.1557,0.0883,0.0675,0.0212
cork_airport,March,0.0270,0.0242,0.0000,0.0748,0.1011,0.1595,0.1940,0.1805,0.1392,0.0714,0.0522,0.0149
cork_airport,April,0.0871,0.0925,0.0748,0.0000,0.0339,0.0863,0.1204,0.1067,0.0664,0.0115,0.0271,0.0744
cork_airport,May,0.1190,0.1210,0.1011,0.0339,0.0000,0.0609,0.1002,0.0889,0.0545,0.0362,0.0601,0.1007
cork_airport,June,0.1734,0.1786,0.1595,0.0863,0.0609,0.0000,0.0415,0.0376,0.0259,0.0903,0.1130,0.1578
cork_airport,July,0.2031,0.2104,0.1940,0.1204,0.1002,0.0415,0.0000,0.0150,0.0562,0.1233,0.1441,0.1949
cork_airport,August,0.1895,0.1969,0.1805,0.1067,0.0889,0.0376,0.0150,0.0000,0.0414,0.1091,0.1306,0.1801
cork_airport,September,0.1487,0.1557,0.1392,0.0664,0.0545,0.0259,0.0562,0.0414,0.0000,0.0678,0.0894,0.1387
cork_airport,October,0.0838,0.0883,0.0714,0.0115,0.0362,0.0903,0.1233,0.1091,0.0678,0.0000,0.0239,0.0749
cork_airport,November,0.0608,0.0675,0.0522,0.0271,0.0601,0.1130,0.1441,0.1306,0.0894,0.0239,0.0000,0.0563
cork_airport,December,0.0211,0.0212,0.0149,0.0744,0.1007,0.1578,0.1949,0.1801,0.1387,0.0749,0.0563,0.0000
kildare_mullingar,January,0.0000,0.0253,0.0209,0.0923,0.1344,0.1907,0.2136,0.2143,0.1643,0.1061,0.0846,0.0413
kildare_mullingar,February,0.0253,0.0000,0.0070,0.0990,0.1391,0.1995,0.2264,0.2250,0.1786,0.1132,0.1012,0.0555
kildare_mullingar,March,0.0209,0.0070,0.0000,0.0932,0.1332,0.1936,0.2205,0.2192,0.1727,0.1073,0.0962,0.0505
kildare_mullingar,April,0.0923,0.0990,0.0932,0.0000,0.0421,0.1004,0.1278,0.1260,0.0820,0.0168,0.0211,0.0521
kildare_mullingar,May,0.1344,0.1391,0.1332,0.0421,0.0000,0.0604,0.0877,0.0860,0.0430,0.0283,0.0524,0.0931
kildare_mullingar,June,0.1907,0.1995,0.1936,0.1004,0.0604,0.0000,0.0290,0.0256,0.0335,0.0863,0.1074,0.1509
kildare_mullingar,July,0.2136,0.2264,0.2205,0.1278,0.0877,0.0290,0.0000,0.0162,0.0503,0.1132,0.1302,0.1764
kildare_mullingar,August,0.2143,0.2250,0.2192,0.1260,0.0860,0.0256,0.0162,0.0000,0.0515,0.1118,0.1310,0.1750
kildare_mullingar,September,0.1643,0.1786,0.1727,0.0820,0.0430,0.0335,0.0503,0.0515,0.0000,0.0654,0.0804,0.1286
kildare_mullingar,October,0.1061,0.1132,0.1073,0.0168,0.0283,0.0863,0.1132,0.1118,0.0654,0.0000,0.0246,0.0648
kildare_mullingar,November,0.0846,0.1012,0.0962,0.0211,0.0524,0.1074,0.1302,0.1310,0.0804,0.0246,0.0000,0.0489
kildare_mullingar,December,0.0413,0.0555,0.0505,0.0521,0.0931,0.1509,0.1764,0.1750,0.1286,0.0648,0.0489,0.0000
galway_athenry,January,0.0000,0.1117,0.0470,0.0332,0.0465,0.0948,0.1266,0.0886,0.0879,0.0547,0.0608,0.0488
galway_athenry,February,0.1117,0.0000,0.0788,0.1083,0.1108,0.1801,0.2139,0.1665,0.1782,0.1377,0.1565,0.0710
galway_athenry,March,0.0470,0.0788,0.0000,0.0349,0.0486,0.1077,0.1415,0.0961,0.1009,0.0626,0.0809,0.0158
galway_athenry,April,0.0332,0.1083,0.0349,0.0000,0.0171,0.0766,0.1104,0.0648,0.0699,0.0315,0.0498,0.0467
galway_athenry,May,0.0465,0.1108,0.0486,0.0171,0.0000,0.0693,0.1140,0.0654,0.0787,0.0397,0.0606,0.0608
galway_athenry,June,0.0948,0.1801,0.1077,0.0766,0.0693,0.0000,0.0458,0.0302,0.0293,0.0453,0.0399,0.1126
galway_athenry,July,0.1266,0.2139,0.1415,0.1104,0.1140,0.0458,0.0000,0.0515,0.0406,0.0789,0.0659,0.1457
galway_athenry,August,0.0886,0.1665,0.0961,0.0648,0.0654,0.0302,0.0515,0.0000,0.0237,0.0359,0.0336,0.1043
galway_athenry,September,0.0879,0.1782,0.1009,0.0699,0.0787,0.0293,0.0406,0.0237,0.0000,0.0405,0.0326,0.1071
galway_athenry,October,0.0547,0.1377,0.0626,0.0315,0.0397,0.0453,0.0789,0.0359,0.0405,0.0000,0.0338,0.0690
galway_athenry,November,0.0608,0.1565,0.0809,0.0498,0.0606,0.0399,0.0659,0.0336,0.0326,0.0338,0.0000,0.0854
galway_athenry,December,0.0488,0.0710,0.0158,0.0467,0.0608,0.1126,0.1457,0.1043,0.1071,0.0690,0.0854,0.0000
donegal_finner,January,0.0000,0.0665,0.0683,0.1176,0.1526,0.1707,0.2171,0.1833,0.1448,0.0798,0.0732,0.0553
donegal_finner,February,0.0665,0.0000,0.1131,0.1533,0.1920,0.2134,0.2647,0.2181,0.1893,0.1181,0.1212,0.0276
donegal_finner,March,0.0683,0.1131,0.0000,0.0501,0.0865,0.1079,0.1572,0.1159,0.0821,0.0133,0.0166,0.1071
donegal_finner,April,0.1176,0.1533,0.0501,0.0000,0.0388,0.0601,0.1116,0.0685,0.0383,0.0426,0.0473,0.1519
donegal_finner,May,0.1526,0.1920,0.0865,0.0388,0.0000,0.0305,0.0734,0.0326,0.0215,0.0759,0.0796,0.1895
donegal_finner,June,0.1707,0.2134,0.1079,0.0601,0.0305,0.0000,0.0533,0.0168,0.0287,0.0974,0.0992,0.2109
donegal_finner,July,0.2171,0.2647,0.1572,0.1116,0.0734,0.0533,0.0000,0.0484,0.0753,0.1466,0.1467,0.2599
donegal_finner,August,0.1833,0.2181,0.1159,0.0685,0.0326,0.0168,0.0484,0.0000,0.0441,0.1053,0.1103,0.2194
donegal_finner,September,0.1448,0.1893,0.0821,0.0383,0.0215,0.0287,0.0753,0.0441,0.0000,0.0746,0.0733,0.1851
donegal_finner,October,0.0798,0.1181,0.0133,0.0426,0.0759,0.0974,0.1466,0.1053,0.0746,0.0000,0.0233,0.1141
donegal_finner,November,0.0732,0.1212,0.0166,0.0473,0.0796,0.0992,0.1467,0.1103,0.0733,0.0233,0.0000,0.1152
donegal_finner,December,0.0553,0.0276,0.1071,0.1519,0.1895,0.2109,0.2599,0.2194,0.1851,0.1141,0.1152,0.0000
kerry_valentia_observatory,January,0.0000,0.0209,0.0628,0.1456,0.1666,0.2215,0.2620,0.2424,0.1814,0.1107,0.0624,0.0171
kerry_valentia_observatory,February,0.0209,0.0000,0.0440,0.1302,0.1512,0.2061,0.2467,0.2271,0.1661,0.0954,0.0501,0.0131
kerry_valentia_observatory,March,0.0628,0.0440,0.0000,0.0878,0.1072,0.1621,0.2049,0.1853,0.1243,0.0531,0.0137,0.0552
kerry_valentia_observatory,April,0.1456,0.1302,0.0878,0.0000,0.0220,0.0759,0.1194,0.0992,0.0433,0.0356,0.0840,0.1413
kerry_valentia_observatory,May,0.1666,0.1512,0.1072,0.0220,0.0000,0.0555,0.1057,0.0858,0.0339,0.0576,0.1049,0.1607
kerry_valentia_observatory,June,0.2215,0.2061,0.1621,0.0759,0.0555,0.0000,0.0538,0.0343,0.0441,0.1107,0.1598,0.2156
kerry_valentia_observatory,July,0.2620,0.2467,0.2049,0.1194,0.1057,0.0538,0.0000,0.0203,0.0807,0.1518,0.2007,0.2585
kerry_valentia_observatory,August,0.2424,0.2271,0.1853,0.0992,0.0858,0.0343,0.0203,0.0000,0.0611,0.1322,0.1811,0.2389
kerry_valentia_observatory,September,0.1814,0.1661,0.1243,0.0433,0.0339,0.0441,0.0807,0.0611,0.0000,0.0712,0.1201,0.1780
kerry_valentia_observatory,October,0.1107,0.0954,0.0531,0.0356,0.0576,0.1107,0.1518,0.1322,0.0712,0.0000,0.0491,0.1073
kerry_valentia_observatory,November,0.0624,0.0501,0.0137,0.0840,0.1049,0.1598,0.2007,0.1811,0.1201,0.0491,0.0000,0.0617
kerry_valentia_observatory,December,0.0171,0.0131,0.0552,0.1413,0.1607,0.2156,0.2585,0.2389,0.1780,0.1073,0.0617,0.0000
